"","Oil_Gas","Top MD (ft)","Bottom MD (ft)","Open_Cased","Radius (in)","Water_Oil-Based","Loss/Gain","Shot Density","Carbonate_Sandstone","Rock Type (DRT)","Porosity","Permeability (mD)","Wettability","Temperature Gradient (°F_ft)","Fracture Pressure (psi)","Bottom0hole Pressure (psi)","Bottom0hole Temperature (°F)","Initial Skin","cl"
"1",0,0.819943913837902,0.811293327141277,1,0,1,3,0,0,0.166666666666666,0.486688792503477,0.000771858484646366,0,0.206871555400319,0.814455633095018,0.753765883313544,0.834576830745813,0.0336695056485926,"2"
"2",0,0.829205936388456,0.817722447143537,1,0,1,3,0,0,0.166666666666666,0.179276239021833,5.45972113100332e-05,0,0.206871555400319,0.820777015283069,0.759612183367833,0.840212696135086,0.148614293705019,"2"
"3",0,0.835736034031165,0.840415708482893,1,0,1,3,0,0,0.333333333333333,0.0868763738521783,3.15144236430504e-05,0.5,0.206871555400319,0.843089987815696,0.780248229195822,0.860105957749,0.125131980074822,"2"
"4",0,0.858785722375043,0.849147062575833,1,0,1,3,0,0,0.5,0.237840998285195,0.000812719612982543,0,0.206871555400319,0.851675023749273,0.78818805857988,0.867759996920238,0.230625424663899,"2"
"5",0,0.867654213670885,0.857938030271279,1,0,1,3,0,0,0.333333333333333,0.215021280320207,0.000231912292220438,0,0.206871555400319,0.860318674293389,0.796182097405889,0.875466294291506,0.038151562321194,"2"
"6",0,0.718813911115735,0.706972727147359,1,0,0,6,0,0,0.333333333333333,0.325348200263518,0.000679055960813732,0.5,0.859828660681725,0.674246129058593,0.622924801951437,0.743127789712633,0.0446295541956384,"2"
"7",0,0.723246846518186,0.709092961579563,1,0,0,6,0,0,0.5,0.026019873135941,1.52727169502187e-05,0,0.859828660681725,0.676268215348086,0.624792973895071,0.744986419797217,0.213091233842028,"2"
"8",0,0.725400381972939,0.71432082481161,1,0,0,6,0,0,0.5,0.0557896442526696,4.03114292531169e-05,0,0.859828660681725,0.681254074649446,0.629399326507275,0.749569245042195,0.033963399569713,"2"
"9",0,0.730710355555015,0.71548266987436,1,0,0,6,0,0,0.5,0.430157627593042,0.00400317802303114,0,0.859828660681725,0.68236213653931,0.630423046486591,0.750587736278095,0.24548127630557,"2"
"10",0,0.731890448896373,0.719569118193669,1,0,0,6,0,0,0.166666666666666,0.0715189269315116,7.86795230875696e-06,0.5,0.859828660681725,0.686259418365173,0.63402368044635,0.75416997967062,0.0441615742449694,"2"
"11",0,0.842542491378548,0.833691710875998,1,0.235294117647059,0,4,0,0,0.333333333333333,0.403221115217329,0.00122662295753192,0.5,0.707119739566632,0.759859603478108,0.72640485435298,0.854211598120166,0.224879640053587,"2"
"12",0,0.851956115693737,0.841387826253085,0,0.235294117647059,0,4,0.5,1,0.666666666666667,0.764241472940403,0.0605015466347255,0.5,0.707119739566632,0.767005890422416,0.733141123857883,0.860958131124733,0.615118887830662,"3"
"13",0,0.859773108511456,0.847292665485735,1,0.235294117647059,0,4,0,0,0.166666666666666,0.498199290633621,0.000826146247087394,0.5,0.707119739566632,0.772488874167976,0.738309522004912,0.866134403934825,0.0747729461942116,"2"
"14",0,0.86577069087734,0.854996958276975,1,0.235294117647059,0,4,0,0,0.5,0.189791231099923,0.000465212753858473,0.5,0.707119739566632,0.779642754312897,0.745052949051365,0.872888105386301,0.102550224864455,"2"
"15",0,0.873595989546073,0.856349684057907,1,0.235294117647059,0,4,0,0,0.166666666666666,0.324519462147985,0.000247843121968379,0,0.707119739566632,0.780898838208974,0.746236965269952,0.874073925592993,0.179239279230406,"2"
"16",1,0.327931114865217,0.320446846316947,1,0.235294117647059,1,3,0,0,0.166666666666666,0.101398520435855,1.54300278308977e-05,0,0.611300246848874,0.261460782341178,0.370554712472194,0.280908629738518,0.18688258954122,"4"
"17",1,0.330650077073971,0.32294719116269,0,0.235294117647059,1,3,0.375,1,0.833333333333333,0.670380522675396,0.109540856512407,0.5,0.611300246848874,0.263721044885008,0.373006199593494,0.283100470452709,0.77500469234471,"3"
"18",1,0.33318969306767,0.324615444245107,0,0.235294117647059,1,3,0.625,0,0.166666666666666,0.288948373604678,0.00018169108337699,0,0.611300246848874,0.265229112847007,0.374641854352707,0.284562886740543,0.607744645917192,"4"
"19",1,0.334884148221268,0.325229660412249,0,0.235294117647059,1,3,0.5,1,0.666666666666667,0.868890390655808,0.0909545747389183,0.5,0.611300246848874,0.265784352176802,0.375244068493692,0.285101318071225,0.71748022615884,"3"
"20",1,0.335508011447302,0.326829039081931,0,0.235294117647059,1,3,0.375,1,0.666666666666667,0.804970821452172,0.0712656030425474,0.5,0.611300246848874,0.26723015902486,0.376812194673359,0.286503357990472,0.385977111074991,"3"
"21",0,0.789696045032428,0.778181444024729,0,0,0,4,0.5,1,0.833333333333333,0.769035087141187,0.167722030708242,0.5,0.714773252627872,0.781898631814564,0.723655696539328,0.805550445180665,0.328219407461773,"3"
"22",0,0.7955739883444,0.785526353815186,1,0,0,4,0,0,0.5,0.471467394192408,0.00520474893608287,0,0.714773252627872,0.789120457181942,0.730334767157329,0.811989105971071,0.16687624071686,"2"
"23",0,0.803034259437755,0.805892830926825,0,0,1,4,0.5,1,0.666666666666667,0.615957726619691,0.0311467512910105,1,0.714773252627872,0.809145637237938,0.748854959065647,0.829842672775636,0.531052049373817,"3"
"24",0,0.823720618399828,0.81961304526248,1,0,0,4,0,0,0.333333333333333,0.365514930818027,0.000933225446583858,0,0.714773252627872,0.822635931164193,0.76133139282131,0.841870023498681,0.175276861730482,"2"
"25",0,0.83765632643751,0.841338771819082,0,0,1,4,0.375,1,0.666666666666667,0.830275212084766,0.0786330644005946,1,0.714773252627872,0.843997582654457,0.781087613937525,0.860915129254074,0.230737034639483,"3"
"26",1,0.290512824921467,0.283579486123991,0,1,0,4,0.5,0,0.333333333333333,0.303228278391124,0.000562117540826614,0.5,0.844397234709849,0.270452258563112,0.24986635049425,0.248590135258357,0.177304178138008,"4"
"27",1,0.293203667331383,0.285965444944926,0,1,1,4,0.5,1,0.833333333333333,0.901042783290145,0.278010888182112,1,0.844397234709849,0.27272776854721,0.251968656380917,0.250681703425448,0.847821716385312,"3"
"28",1,0.295627100719888,0.290673494477019,0,1,0,4,0.625,0,0.333333333333333,0.416650732193894,0.00134520811295652,0.5,0.844397234709849,0.277217876935462,0.256116992957054,0.254808851993149,0.609291452668262,"4"
"29",1,0.300409096255897,0.293607176322531,1,1,0,4,0,0,0,0.109472927516838,6.3973091787321e-06,0.5,0.844397234709849,0.280015755201866,0.258701906225177,0.25738056258036,0.134503061392877,"4"
"30",1,0.303388855367114,0.296055118224102,0,1,0,4,0.625,0,0.5,0.242799955430504,0.000856479567874227,0.5,0.844397234709849,0.282350378996979,0.260858826380184,0.259526466068421,0.706269722150862,"4"
"31",0,0.837119515001948,0.825806051298962,0,0,1,4,0.5,1,1,0.803058865445141,0.522635448004784,1,0.290816626784355,0.752537313813584,0.71950268026487,0.847298907757226,0.999513897698382,"3"
"32",0,0.843946601639387,0.830653325056984,1,0,0,4,0,0,0.333333333333333,0.507463517500109,0.00237042879665128,0,0.290816626784355,0.757038287028664,0.723745410629242,0.851548102420813,0.11255081322099,"2"
"33",0,0.848870008097766,0.833656451947141,1,0,0,4,0,0,0.166666666666666,0.00726884966598735,5.5205115777005e-07,0,0.290816626784355,0.759826863529366,0.726373992855251,0.854180689601311,0.103738943614066,"2"
"34",0,0.851920302977823,0.836396986231604,1,0,0,4,0,0,0.166666666666666,0.197440402043509,6.89276059506117e-05,0,0.290816626784355,0.762371607652588,0.728772732560028,0.856583084068437,0.137933112351379,"2"
"35",0,0.854703880895865,0.841754882729851,1,0,0,4,0,0,0.166666666666666,0.298039707236917,0.000197253921590722,0,0.290816626784355,0.767346723528368,0.733462401701297,0.861279898472767,0.0656195814617241,"2"
"36",0,0.892856425998432,0.87508398639338,1,0.235294117647059,0,4,0,0,0.166666666666666,0.293444593837398,0.000189276752909942,0.5,0.245711124503252,0.762841843943821,0.914354024077927,0.890496702907393,0.142064320919396,"2"
"37",0,0.893998510405202,0.876168457287157,1,0.235294117647059,0,4,0,0,0.333333333333333,0.322125608105093,0.000661051293477096,0,0.245711124503252,0.763822184293773,0.915417303982714,0.891447366757774,0.250218630167679,"2"
"38",0,0.895100014316242,0.878881195523844,1,0.235294117647059,0,4,0,0,0,0.406539399329803,0.000169528557264072,0.5,0.245711124503252,0.766274446283968,0.91807703424433,0.893825394782282,0.0417367138331097,"2"
"39",0,0.897855359613647,0.881139714210488,0,0.235294117647059,1,4,0.5,1,1,0.706339907584257,0.349739986985374,1,0.245711124503252,0.768316102738138,0.920291420585058,0.895805246969302,0.918669958577958,"3"
